,league,split,week,game,date,patchno,side,team,teamdragkills,elders,herald,teambaronkills,totalgold,earnedgpm,cspm
779,CBLoL,2019-2,2,1,43624.4540625,9.11,Red,Team One,0.0,0.0,0.0,0.0,45358.0,827.6072013093288,32.209492635024546
790,CBLoL,2019-2,2,1,43624.498148148145,9.11,Blue,KaBuM,4.0,0.0,1.0,0.0,57370.0,1029.1919882755253,33.297508549096236
791,CBLoL,2019-2,2,1,43624.498148148145,9.11,Red,INTZ,1.0,0.0,0.0,1.0,64880.0,1249.3190034196384,31.744015632633122
802,CBLoL,2019-2,2,1,43624.5405787037,9.11,Blue,CNB,3.0,0.0,1.0,0.0,61098.0,1068.6754221388367,31.547842401500937
803,CBLoL,2019-2,2,1,43624.5405787037,9.11,Red,Flamengo,2.0,0.0,0.0,1.0,67768.0,1256.386491557223,34.47467166979362
814,CBLoL,2019-2,2,1,43624.585694444446,9.11,Blue,paiN Gaming,2.0,0.0,1.0,1.0,66544.0,1170.9274965800273,31.436388508891934
815,CBLoL,2019-2,2,1,43624.585694444446,9.11,Red,Uppercut,3.0,0.0,0.0,0.0,57412.0,921.0779753761971,33.89876880984952
826,CBLoL,2019-2,2,2,43625.440254629626,9.11,Blue,INTZ,1.0,0.0,0.0,1.0,72404.0,1298.1568803227253,32.16494845360825
827,CBLoL,2019-2,2,2,43625.440254629626,9.11,Red,CNB,4.0,0.0,1.0,1.0,62668.0,1036.3191393993725,30.336172120125507
838,CBLoL,2019-2,2,2,43625.50340277778,9.11,Blue,Flamengo,1.0,0.0,0.0,2.0,91583.0,1129.4092664092664,32.23938223938224
839,CBLoL,2019-2,2,2,43625.50340277778,9.11,Red,Redemption,6.0,2.0,1.0,1.0,95333.0,1201.803088803089,31.235521235521237
850,CBLoL,2019-2,2,2,43625.55960648148,9.11,Blue,Team One,2.0,0.0,0.0,0.0,58923.0,969.6307833256986,31.937700412276683
851,CBLoL,2019-2,2,2,43625.55960648148,9.11,Red,paiN Gaming,1.0,0.0,1.0,1.0,69723.0,1266.469995419148,34.9885478699038
862,CBLoL,2019-2,2,2,43625.605162037034,9.11,Blue,Uppercut,1.0,0.0,1.0,0.0,52745.0,997.4099216710182,31.080939947780678
863,CBLoL,2019-2,2,2,43625.605162037034,9.11,Red,KaBuM,2.0,0.0,0.0,1.0,65017.0,1381.911227154047,32.36553524804177
1414,CBLoL,2019-2,1,1,43617.53949074074,9.1,Blue,INTZ,0.0,0.0,1.0,0.0,47294.0,865.9828326180259,30.450643776824034
1415,CBLoL,2019-2,1,1,43617.53949074074,9.1,Red,Redemption,4.0,0.0,0.0,2.0,59230.0,1250.188841201717,29.742489270386265
1426,LCK,2019-2,2.1,1,43628.08445601852,9.11,Blue,Hanwha Life Esports,1.0,0.0,1.0,0.0,46506.0,844.5250134480905,32.72727272727273
1427,LCK,2019-2,2.1,1,43628.08445601852,9.11,Red,Afreeca Freecs,3.0,0.0,0.0,1.0,54998.0,1118.6078536847767,33.85691231845078
1438,LCK,2019-2,2.1,2,43628.16017361111,9.11,Blue,Afreeca Freecs,3.0,0.0,1.0,2.0,63939.0,1355.3270440251572,36.0062893081761
1439,LCK,2019-2,2.1,2,43628.16017361111,9.11,Red,Hanwha Life Esports,1.0,0.0,0.0,0.0,52508.0,995.8616352201257,32.45283018867924
1450,LCK,2019-2,2.1,1,43628.20229166667,9.11,Blue,Griffin,0.0,0.0,1.0,0.0,45652.0,912.0619621342513,32.392426850258175
1451,LCK,2019-2,2.1,1,43628.20229166667,9.11,Red,Sandbox Gaming,4.0,0.0,0.0,1.0,58473.0,1353.4044750430294,36.454388984509464
1462,LCK,2019-2,2.1,2,43628.2790625,9.11,Blue,Sandbox Gaming,1.0,0.0,1.0,0.0,44315.0,911.4890597279716,34.311058545239504
1463,LCK,2019-2,2.1,2,43628.2790625,9.11,Red,Griffin,3.0,0.0,0.0,1.0,60985.0,1502.9733885274986,38.710821998817266
